Method,Mode,Image,Tissue_TP,Tissue_TN,Tissue_FP,Tissue_FN,Tissue_DICE,Tissue_JACCARD,Tissue_PRECISION,Tissue_RECALL,Tissue_ACCURACY,Tissue_F1,Tissue_SPECIFICITY,Tissue_NPV,Tissue_FDR,Other_TP,Other_TN,Other_FP,Other_FN,Other_DICE,Other_JACCARD,Other_PRECISION,Other_RECALL,Other_ACCURACY,Other_F1,Other_SPECIFICITY,Other_NPV,Other_FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,TCGA-G9-6333-11A-01-TS1.924c9301-78b6-4330-be95-533b25cf1a91.png,6574485,71206454,255830,8748695,0.5935393038434793,0.4220091648955871,0.9625449192313971,0.4290548698116187,0.8962438571510086,0.5935393038434793,0.996420069641211,0.8905799675265441,0.03745508076860291,71206454,6574485,8748695,255830,0.9405317814362895,0.8877394951132562,0.8905799675265441,0.996420069641211,0.8962438571510086,0.9405317814362895,0.4290548698116187,0.9625449192313971,0.10942003247345583,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-DQ-7590-01Z-00-DX1.8319DF99-1663-48DE-BB6A-A156FBAC2EA1.png,8825515,212644288,82063,24655350,0.41641137892231617,0.2629542631083915,0.990787282468927,0.26359877500178086,0.8995260439482814,0.4164113789223161,0.9996142320891876,0.8961003471905844,0.009212717531072981,212644288,8825515,24655350,82063,0.9450311457456738,0.895790564749555,0.8961003471905844,0.9996142320891876,0.8995260439482814,0.9450311457456737,0.26359877500178086,0.990787282468927,0.10389965280941559,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-FA-A82F-01Z-00-DX1.6D1B9A0A-FAA1-4E4D-9280-3D87F9929972.png,190812755,532101487,918467,23158327,0.9406540368082307,0.8879573524536551,0.9952096117136311,0.8917688933311091,0.9677682959504751,0.9406540368082306,0.9982768618827355,0.9582928092109327,0.0047903882863689256,532101487,190812755,23158327,918467,0.977876282636176,0.9567102944819954,0.9582928092109327,0.9982768618827355,0.9677682959504751,0.977876282636176,0.8917688933311091,0.9952096117136311,0.04170719078906726,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SJ-01Z-00-DX2.36E46E11-79CA-4356-B68F-F387219B3D16.png,132596509,214025785,851677,190445517,0.5809391111325735,0.4093827937124174,0.9936179199918087,0.4104621019185906,0.644375788073326,0.5809391111325735,0.9960364526271257,0.529149494517166,0.006382080008191344,214025785,132596509,190445517,851677,0.6911317094353643,0.5280376294678324,0.529149494517166,0.9960364526271257,0.644375788073326,0.6911317094353642,0.4104621019185906,0.9936179199918087,0.47085050548283397,0.25,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SI-01Z-00-DX1.35E5FB1A-9AAC-4942-892B-E9D80F6BDA23.png,150588706,171335481,3139290,23588043,0.9184905573720807,0.8492672566411209,0.9795789310881279,0.864574099956361,0.9233408390131211,0.9184905573720807,0.9820071980492813,0.878988217963882,0.02042106891187211,171335481,150588706,23588043,3139290,0.9276463011287045,0.8650562795699752,0.878988217963882,0.9820071980492813,0.9233408390131211,0.9276463011287043,0.864574099956361,0.9795789310881279,0.12101178203611791,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-G9-6378-01A-01-BS1.bc59e095-f3ab-4a6e-8cef-ea7fc76abec8.png,7892819,33192340,6579,11272962,0.583245283543109,0.4116769662159484,0.9991671517247264,0.41181828175955887,0.7845964743424483,0.583245283543109,0.9998018308969638,0.7464773319205164,0.0008328482752736348,33192340,7892819,11272962,6579,0.8547652850338897,0.7463669009188075,0.7464773319205164,0.9998018308969638,0.7845964743424483,0.8547652850338896,0.41181828175955887,0.9991671517247264,0.25352266807948365,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-G9-7509-01Z-00-DX1.D75B78D5-F5B9-4684-9FE0-C7279122D66F.png,52598844,325070130,40481,45291745,0.6988490540159347,0.5371006770374305,0.9992309741813749,0.5373227859523861,0.8928319210441956,0.6988490540159348,0.9998754854543951,0.8777094834612769,0.0007690258186251438,325070130,52598844,45291745,40481,0.9348180885476467,0.8776135592398878,0.8777094834612769,0.9998754854543951,0.8928319210441956,0.9348180885476468,0.5373227859523861,0.9992309741813749,0.12229051653872311,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-BA-A6DF-01Z-00-DX1.AAA638F5-C794-441B-A034-30AD8CC72573.png,192473177,816537311,114014,31777066,0.9234927638480761,0.8578602473209447,0.9994079876267575,0.8582964032730167,0.9693620597946875,0.923492763848076,0.9998603883977045,0.9625409319215157,0.0005920123732424136,816537311,192473177,31777066,114014,0.980845803633257,0.9624115831833355,0.9625409319215157,0.9998603883977045,0.9693620597946875,0.980845803633257,0.8582964032730167,0.9994079876267575,0.03745906807848431,0.5,1.75
HistoKit (no postprocessing),gaussian,normal_004.png,10666925,1294874167,75737,9625155,0.6874183133212449,0.5237146916628326,0.9929498852332876,0.5256693744554526,0.9926242530895364,0.687418313321245,0.9999415135676167,0.9926215714813533,0.007050114766712385,1294874167,10666925,9625155,75737,0.9962680971403594,0.9925639449159513,0.9926215714813533,0.9999415135676167,0.9926242530895364,0.9962680971403594,0.5256693744554526,0.9929498852332876,0.007378428518646635,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SL-01Z-00-DX2.F64D1539-E590-4B51-96B4-1F95CAE6E33A.png,257986746,301678617,1524704,74509133,0.8715660545479497,0.7723678094412523,0.9941247139577079,0.7759096045818962,0.8803933731551022,0.8715660545479497,0.9949713479556512,0.8019363123865676,0.005875286042292161,301678617,257986746,74509133,1524704,0.8880853160344229,0.7986991527687356,0.8019363123865676,0.9949713479556512,0.8803933731551022,0.8880853160344229,0.7759096045818962,0.9941247139577079,0.19806368761343238,0.5,1.75
HistoKit (no postprocessing),gaussian,tumor_031.png,31536749,1305352924,89881,14897054,0.808008559214628,0.6778643969811161,0.997158059521359,0.6791765257736913,0.9889139771253442,0.8080085592146279,0.9999311490326074,0.9887164898706781,0.0028419404786409427,1305352924,31536749,14897054,89881,0.9942921978165029,0.9886491838462327,0.9887164898706781,0.9999311490326074,0.9889139771253442,0.9942921978165029,0.6791765257736913,0.997158059521359,0.011283510129321888,0.5,1.75
HistoKit (no postprocessing),gaussian,tumor_021.png,151833102,1108510303,204517,88199342,0.7745202520091415,0.6320139139622233,0.998654826342683,0.6325524144561058,0.9344548371962443,0.7745202520091414,0.9998155368753887,0.9262984614785151,0.001345173657317009,1108510303,151833102,88199342,204517,0.9616539772427547,0.9261401846459228,0.9262984614785151,0.9998155368753887,0.9344548371962443,0.9616539772427547,0.6325524144561058,0.998654826342683,0.07370153852148488,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-SR-A6MX-01Z-00-DX1.2642CBB2-65ED-48E9-BC30-D2F3F5D4D8B3.png,70490463,267352015,110219,16424831,0.8950262035642658,0.8099976727514379,0.9984388394435056,0.811024846789335,0.9533405797672363,0.8950262035642659,0.9995879081754773,0.9421206090929631,0.0015611605564943409,267352015,70490463,16424831,110219,0.9700038502350015,0.94175483127419,0.9421206090929631,0.9995879081754773,0.9533405797672363,0.9700038502350016,0.811024846789335,0.9984388394435056,0.057879390907036865,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-G9-6333-11A-01-TS1.924c9301-78b6-4330-be95-533b25cf1a91.png,6642121,71200995,261289,8681059,0.5976734172898317,0.42620130336169937,0.9621507342023724,0.43346883610321096,0.8969603020155541,0.5976734172898317,0.996343679695432,0.8913265425047784,0.03784926579762755,71200995,6642121,8681059,261289,0.9409138913409499,0.8884205766160765,0.8913265425047784,0.996343679695432,0.8969603020155541,0.9409138913409499,0.43346883610321096,0.9621507342023724,0.10867345749522164,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-FA-A82F-01Z-00-DX1.6D1B9A0A-FAA1-4E4D-9280-3D87F9929972.png,191263426,532091444,928510,22707656,0.9418062084618447,0.8900129787124026,0.9951688399663137,0.8938751171992485,0.9683581664827368,0.9418062084618448,0.9982580201866139,0.9590704887589039,0.004831160033686325,532091444,191263426,22707656,928510,0.9782719691173933,0.9574680732526498,0.9590704887589039,0.9982580201866139,0.9683581664827368,0.9782719691173933,0.8938751171992485,0.9951688399663137,0.0409295112410961,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-DQ-7590-01Z-00-DX1.8319DF99-1663-48DE-BB6A-A156FBAC2EA1.png,8836398,212647990,78361,24644467,0.41685424891965267,0.2633075625760856,0.9912099698937459,0.2639238263408069,0.8995852826669386,0.41685424891965267,0.9996316347286942,0.8961430661911011,0.008790030106254135,212647990,8836398,24644467,78361,0.945062678358101,0.8958472308925522,0.8961430661911011,0.9996316347286942,0.8995852826669386,0.945062678358101,0.2639238263408069,0.9912099698937459,0.10385693380889895,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SJ-01Z-00-DX2.36E46E11-79CA-4356-B68F-F387219B3D16.png,132768875,214065378,812084,190273151,0.5815251503381942,0.40996507655870107,0.9939206605037174,0.41099567336170684,0.6447698228772853,0.5815251503381942,0.9962207111325617,0.5294211722276905,0.00607933949628255,214065378,132768875,190273151,812084,0.6914077837502101,0.5283600002846349,0.5294211722276905,0.9962207111325617,0.6447698228772853,0.69140778375021,0.41099567336170684,0.9939206605037174,0.4705788277723096,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SI-01Z-00-DX1.35E5FB1A-9AAC-4942-892B-E9D80F6BDA23.png,150919593,171602408,2872363,23257156,0.9203292308026767,0.852416548691868,0.9813230608758237,0.8664738196485686,0.9250554852019576,0.9203292308026767,0.983537086860541,0.8806465768341758,0.0186769391241763,171602408,150919593,23257156,2872363,0.9292523967477868,0.867853819074954,0.8806465768341758,0.983537086860541,0.9250554852019576,0.9292523967477868,0.8664738196485686,0.9813230608758237,0.11935342316582419,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-G9-6378-01A-01-BS1.bc59e095-f3ab-4a6e-8cef-ea7fc76abec8.png,7895808,33192340,6579,11269973,0.5834017285543669,0.4118328677325066,0.9991674667413782,0.41197423679212447,0.784653554780224,0.5834017285543668,0.9998018308969638,0.7465275142118675,0.0008325332586217304,33192340,7895808,11269973,6579,0.8547981829595492,0.7464170683632054,0.7465275142118675,0.9998018308969638,0.784653554780224,0.8547981829595492,0.41197423679212447,0.9991674667413782,0.25347248578813253,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-G9-7509-01Z-00-DX1.D75B78D5-F5B9-4684-9FE0-C7279122D66F.png,52697914,325069855,40756,45192675,0.6997035549381545,0.5381107958846068,0.9992272084222071,0.5383348342096501,0.8930654783012436,0.6997035549381545,0.9998746395884323,0.8779442386460223,0.0007727915777929175,325069855,52697914,45192675,40756,0.9349508510855756,0.877847611106535,0.8779442386460223,0.9998746395884323,0.8930654783012436,0.9349508510855757,0.5383348342096501,0.9992272084222071,0.12205576135397768,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-BA-A6DF-01Z-00-DX1.AAA638F5-C794-441B-A034-30AD8CC72573.png,192633280,816536983,114342,31616963,0.9239053538079866,0.8585725773075996,0.9994067786735132,0.8590103512173228,0.9695155565372344,0.9239053538079864,0.9998599867575063,0.9627226128592462,0.0005932213264867154,816536983,192633280,31616963,114342,0.9809399300009785,0.9625928430322271,0.9627226128592462,0.9998599867575063,0.9695155565372344,0.9809399300009785,0.8590103512173228,0.9994067786735132,0.03727738714075381,0.9,2.25
HistoKit (no postprocessing),gaussian,normal_004.png,10669524,1294872700,77204,9622556,0.6874957311505003,0.5238045677010542,0.9928160459630131,0.5257974539820462,0.9926251137676578,0.6874957311505004,0.99994038070526,0.9926235408248967,0.007183954036986886,1294872700,10669524,9622556,77204,0.996268526780538,0.9925647978188962,0.9926235408248967,0.99994038070526,0.9926251137676578,0.996268526780538,0.5257974539820462,0.9928160459630131,0.007376459175103355,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SL-01Z-00-DX2.F64D1539-E590-4B51-96B4-1F95CAE6E33A.png,258620188,301654339,1548982,73875691,0.8727364248536951,0.7742079528653488,0.9940462507529235,0.7778147169156343,0.8813516314005114,0.8727364248536951,0.9948912762733229,0.803276209362005,0.005953749247076431,301654339,258620188,73875691,1548982,0.8888743673949802,0.7999764754873178,0.803276209362005,0.9948912762733229,0.8813516314005114,0.8888743673949802,0.7778147169156343,0.9940462507529235,0.19672379063799506,0.9,2.25
HistoKit (no postprocessing),gaussian,tumor_031.png,31550441,1305351241,91564,14883362,0.8082001789850193,0.6781341671093105,0.9971062516423975,0.6794713971629677,0.9889228603325312,0.8082001789850193,0.9999298598148848,0.988726729350844,0.002893748357602497,1305351241,31550441,14883362,91564,0.9942967380705742,0.9886581616162122,0.988726729350844,0.9999298598148848,0.9889228603325312,0.9942967380705741,0.6794713971629677,0.9971062516423975,0.011273270649155983,0.9,2.25
HistoKit (no postprocessing),gaussian,tumor_021.png,151750098,1108510887,203933,88282346,0.7742619078885311,0.6316699406435021,0.9986579296471576,0.6322066112029422,0.934393728638548,0.7742619078885312,0.9998160636113802,0.9262342536991935,0.001342070352842433,1108510887,151750098,88282346,203933,0.9616196183375465,0.9260764507106611,0.9262342536991935,0.9998160636113802,0.934393728638548,0.9616196183375465,0.6322066112029422,0.9986579296471576,0.0737657463008065,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-SR-A6MX-01Z-00-DX1.2642CBB2-65ED-48E9-BC30-D2F3F5D4D8B3.png,70732652,267355188,107046,16182642,0.8967405861869652,0.8128102737756765,0.9984888981316662,0.8138113414193824,0.9540329543694994,0.8967405861869652,0.9995997715326045,0.9429259862784447,0.0015111018683337696,267355188,70732652,16182642,107046,0.970436141364949,0.9425701312510225,0.9429259862784447,0.9995997715326045,0.9540329543694994,0.970436141364949,0.8138113414193824,0.9984888981316662,0.05707401372155525,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-G9-6333-11A-01-TS1.924c9301-78b6-4330-be95-533b25cf1a91.png,6667704,71199277,263007,8655476,0.5992393869458604,0.42779571424364404,0.9620519453198958,0.43513839816539385,0.8972352904629283,0.5992393869458603,0.9963196390420435,0.8916097580315602,0.037948054680104246,71199277,6667704,8655476,263007,0.9410609460982242,0.8886828213869185,0.8916097580315602,0.9963196390420435,0.8972352904629283,0.9410609460982243,0.43513839816539385,0.9620519453198958,0.10839024196843987,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-FA-A82F-01Z-00-DX1.6D1B9A0A-FAA1-4E4D-9280-3D87F9929972.png,191779419,532104569,915385,22191663,0.9431792810867838,0.8924685750452587,0.9952495605434176,0.8962866253113586,0.969066498945243,0.9431792810867837,0.9982826440302458,0.9599642542762225,0.0047504394565823374,532104569,191779419,22191663,915385,0.9787485477568344,0.958381548057558,0.9599642542762225,0.9982826440302458,0.969066498945243,0.9787485477568344,0.8962866253113586,0.9952495605434176,0.040035745723777535,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-DQ-7590-01Z-00-DX1.8319DF99-1663-48DE-BB6A-A156FBAC2EA1.png,8824327,212644618,81733,24656538,0.41637023681241325,0.2629214520282369,0.9908227656225087,0.26356329204756207,0.8995225590788534,0.4163702368124133,0.9996157833779605,0.8960960055331547,0.00917723437749128,212644618,8824327,24656538,81733,0.9450294246124826,0.8957874718594397,0.8960960055331547,0.9996157833779605,0.8995225590788534,0.9450294246124826,0.26356329204756207,0.9908227656225087,0.10390399446684533,0.5,0.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SJ-01Z-00-DX2.36E46E11-79CA-4356-B68F-F387219B3D16.png,132906442,214079169,798293,190135584,0.581969937604002,0.4104073341157992,0.9940294335873745,0.4114215219786914,0.6450511995579532,0.581969937604002,0.9962848918980624,0.5296174061217405,0.005970566412625551,214079169,132906442,190135584,798293,0.6915905702351628,0.5285735141479863,0.5296174061217405,0.9962848918980624,0.6450511995579532,0.6915905702351627,0.4114215219786914,0.9940294335873745,0.47038259387825954,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SI-01Z-00-DX1.35E5FB1A-9AAC-4942-892B-E9D80F6BDA23.png,150576465,171321337,3153434,23600284,0.9184105654362945,0.8491304889703971,0.979487178352989,0.8645038207711639,0.9232651617293968,0.9184105654362946,0.9819261318875725,0.8789242369372662,0.020512821647010904,171321337,150576465,23600284,3153434,0.927574501052517,0.8649314119842098,0.8789242369372662,0.9819261318875725,0.9232651617293968,0.927574501052517,0.8645038207711639,0.979487178352989,0.12107576306273382,0.5,0.75
