Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,8469f8e6-543f-6b82-f38a-8b184a96e4e9_104905_3.png,5242486,705868,1237095,31919,0.8920354337668941,0.8051118789833371,0.8090779326626213,0.9939483221330179,0.8241721913029791,0.8920354337668941,0.36329461755061726,0.9567368359702733,0.19092206733737876,0.25,2.25
HistoKit (no postprocessing),gaussian,46e107b0-7f41-8fd8-abd7-fbe9d0e935a4_133028_5.png,0,11464740,74520,0,0.0,0.0,0.0,,0.9935420468903552,,0.9935420468903552,1.0,1.0,0.25,2.25
HistoKit (no postprocessing),gaussian,9761f929-4dae-801a-b291-ba7ecada0fc3_101038_3.png,8810011,1114108,48474,268418,0.9823329698743051,0.9652793505091486,0.9945279582231047,0.970433430718024,0.9690565706842811,0.982332969874305,0.9583048765592449,0.8058495825756622,0.0054720417768952595,0.25,2.25
HistoKit (no postprocessing),gaussian,4a12a0e8-253e-42bb-77ff-6e284ada3080_105659_4.png,4951275,6308604,14247,37181,0.994833422376461,0.9897199573910344,0.9971308152496354,0.9925465915706182,0.9954533989750256,0.994833422376461,0.9977467443088569,0.9941408352158165,0.002869184750364614,0.25,2.25
HistoKit (no postprocessing),gaussian,16277008-7349-6ea9-1043-9abf63a9d11e_105523_3.png,2689256,294068,144,578104,0.9029257515830753,0.8230306680573306,0.9999464564586896,0.8230669408941775,0.8376424792198501,0.9029257515830754,0.9995105570133102,0.33716743945001676,5.354354131032944e-05,0.25,2.25
HistoKit (no postprocessing),gaussian,ed9d6e50-ec08-4213-59eb-4f99b1955e7c_103016_4.png,6671658,324352,89937,1874306,0.8716815006233195,0.7725491526593461,0.9866988484225985,0.7806793943901472,0.7807826408473064,0.8716815006233194,0.7829124113843235,0.1475227161295663,0.013301151577401487,0.25,2.25
HistoKit (no postprocessing),gaussian,d7d9e09c-5b48-9d63-55ef-dabd0e7bf5cd_123455_4.png,0,16286694,1335132,0,0.0,0.0,0.0,,0.9242341854924683,,0.9242341854924683,1.0,1.0,0.25,2.25
HistoKit (no postprocessing),gaussian,4c439187-b529-301f-82bf-3874dfa019f2_103211_2.png,2436522,1528486,63948,28508,0.981380324237237,0.9634413585250643,0.9744256079856987,0.9884350291882857,0.9772133529712155,0.981380324237237,0.959842605721807,0.9816903597573272,0.02557439201430131,0.25,2.25
HistoKit (no postprocessing),gaussian,15fe4c3f-571c-b45d-d559-12744253eeb9_122421_2.png,4195199,338978,4578,434605,0.9502600406519857,0.9052337506921095,0.9989099421231175,0.9061288555627841,0.9116928997699745,0.9502600406519857,0.9866746614816798,0.438192152619693,0.0010900578768825106,0.25,2.25
HistoKit (no postprocessing),gaussian,7f0a6db3-032c-fd36-2371-511c4ae59038_115247_1.png,3420418,1167812,240648,84870,0.9545769020062363,0.9131010246838174,0.9342683251271624,0.9757880094303235,0.9337536235069442,0.9545769020062362,0.8291410476690854,0.9322493657608236,0.06573167487283758,0.25,2.25
