Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),constant,d5907b31-ce36-7334-168a-45b235153f97_142531_2.png,2990681,293263,2151,2079945,0.7417862162858664,0.5895549912799242,0.9992812827449051,0.5898050852103862,0.6119864928327035,0.7417862162858664,0.9927186930883438,0.12357239651981622,0.0007187172550948399,0.25,
HistoKit (no postprocessing),constant,7e63bf8d-5610-726c-f6ab-7421ed7c18fd_161152_2.png,6975865,232789,7242,626424,0.9565547620373146,0.9167273252451432,0.9989629258151135,0.917600606869852,0.9191991655530506,0.9565547620373146,0.9698288971007911,0.2709328187539062,0.0010370741848864697,0.25,
HistoKit (no postprocessing),constant,dc136a81-d3ff-9bc7-279b-395bfecb1ce3_154313_1.png,20002539,10845372,279031,196703,0.9882479136041046,0.9767688417866096,0.9862421400315656,0.9902618623015655,0.9848123039320615,0.9882479136041045,0.9749172157822762,0.982186047459377,0.013757859968434396,0.25,
HistoKit (no postprocessing),constant,7bed7bdd-d0af-cb27-b26c-ec8dd758c13d_163729_3.png,2854684,1344869,8977,44078,0.9907929355411778,0.981753864428685,0.9968652015723928,0.9847941983508822,0.9875241263713938,0.9907929355411776,0.9933692606101433,0.9682651677853799,0.0031347984276071782,0.25,
HistoKit (no postprocessing),constant,63515737-df00-8806-b37c-2eeed3f51d2f_160144_5.png,8797007,2207545,15183,182115,0.9889104299896488,0.9780641194622597,0.9982770457740925,0.9797179501514736,0.9823870164303218,0.9889104299896488,0.9931692046890128,0.9237904136990199,0.0017229542259075213,0.25,
HistoKit (no postprocessing),constant,95031375-df8d-17e5-9a91-20de2ed0d02b_155923_1.png,4883687,418021,2481,3422719,0.7403690894589638,0.5877666888477362,0.9994922401358283,0.5879422460207219,0.6075127639709276,0.7403690894589638,0.9940999091561991,0.10883866129964538,0.0005077598641716781,0.25,
HistoKit (no postprocessing),constant,0a27a470-b16c-7ffd-586b-263aff58f3c5_151319_3.png,3808389,210341,8148,541756,0.9326649427515361,0.8738258304340714,0.9978650803070952,0.875462542053196,0.8796349193216177,0.9326649427515361,0.9627075047256384,0.27967270179245496,0.0021349196929048506,0.25,
HistoKit (no postprocessing),constant,41a3604a-76bd-d0c1-802d-8dec5b7bd91d_153025_3.png,2995853,4530735,119476,52012,0.9721754661625125,0.9458574242558664,0.9616489943758749,0.9829349397036943,0.9777232648781332,0.9721754661625125,0.9743074023952891,0.9886504753589932,0.03835100562412509,0.25,
HistoKit (no postprocessing),constant,56684d08-371d-ca88-16cf-e095618ad483_134728_4.png,3468846,252010,13305,868191,0.8872650203576126,0.7973731720402671,0.9961790858581376,0.7998193236534528,0.8084683657399521,0.8872650203576126,0.9498520626425193,0.2249685547504421,0.0038209141418623143,0.25,
HistoKit (no postprocessing),constant,7619a4ca-ed05-1dc2-f55c-d5b01e2c71b2_170239_3.png,10153216,1700786,3600,13374,0.9991648053480799,0.9983310046321652,0.9996455582143066,0.9986845146701107,0.998570125994695,0.9991648053480798,0.9978878024109562,0.9921979278480422,0.0003544417856934693,0.25,
