"Method","Mode","Image","TP","TN","FP","FN","DICE","JACCARD","PRECISION","RECALL","ACCURACY","F1","SPECIFICITY","NPV","FDR","Overlap","Sigma","Organ","Dataset"
"HistoKit (no postprocessing)","gaussian","f881e0d1-5083-a9bf-24e9-defb3fc05474_163258_2.png",2706813,12460782,7469,66716,0.986481859524681,0.973324324577004,0.997248259392355,0.975945447118094,0.995132786328106,0.986481859524681,0.999400958482469,0.994674435390052,0.00275174060764504,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","6a40a23d-a9fd-108a-edd5-261bdad9c312_144347_4.png",2634433,244227,4450,704218,0.881444756315899,0.788020762758888,0.998313680447371,0.789071094882334,0.8024524102619,0.881444756315899,0.982105301254237,0.257502543637217,0.0016863195526289,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","4904a2d8-c11b-e076-57bb-00888e6b2940_163059_1.png",2378812,387422,14717,255419,0.946271102837049,0.898021403213653,0.99385133833766,0.903038495864638,0.911033240349496,0.946271102837049,0.963403201380617,0.602671578197408,0.00614866166234042,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","6ea845c8-2c0d-1181-8621-d91147212828_165222_1.png",3906738,2868265,17862,57410,0.990458308466692,0.981096983684119,0.995448708148601,0.985517695101192,0.989011827992307,0.990458308466692,0.993811083157463,0.980377177916207,0.00455129185139887,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","f93aef69-f3ba-d018-c3df-4d10344df03f_145423_3.png",4662070,266593,1833,701558,0.929854018900565,0.868903902199643,0.999606981534565,0.869200846889456,0.875109329562536,0.929854018900565,0.993171302332859,0.275363037377434,0.000393018465435495,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","22383f59-0019-4bd8-48c3-85b3dbec63de_150057_3.png",5109068,157947,2957,631689,0.94152227511803,0.889505988633835,0.999421559949335,0.889964163262789,0.892463155711587,0.94152227511803,0.981622582409387,0.200025074844612,0.000578440050664854,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","dd39d066-a837-16fd-ad92-0770b0888627_135807_4.png",3689560,834531,63557,1377045,0.83666129159173,0.719189764377811,0.983065542587668,0.728211494679376,0.758478433005689,0.836661291591731,0.929230765804687,0.377346742775288,0.0169344574123322,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","f93aef69-f3ba-d018-c3df-4d10344df03f_145423_2.png",3486151,185227,143195,835677,0.87688962661363,0.780768878458185,0.960545233218326,0.806638070742288,0.789501209612386,0.87688962661363,0.563990841052061,0.181434297446185,0.0394547667816736,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","1488fbc9-017a-a46d-0a46-5c2b5553bccd_165456_4.png",10738207,323903,764,2711458,0.887872056944426,0.798354238366672,0.999928857243399,0.798399588391235,0.803095932347209,0.887872056944426,0.997646819664456,0.106709877342431,7.11427566011678e-05,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","41a3604a-76bd-d0c1-802d-8dec5b7bd91d_153025_1.png",8920448,1723141,18853,14674,0.998124303089392,0.996255629482995,0.997890998412516,0.998357716884,0.996859919851016,0.998124303089392,0.98917734504252,0.991556063217316,0.0021090015874843,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","bb87bd99-35a9-7681-1e96-e16035c6cb7c_142800_4.png",7658579,5950526,576094,812437,0.916882745752061,0.846522149061966,0.930040452122385,0.904092141957942,0.907416675534731,0.916882745752061,0.911731646702275,0.879869666594361,0.0699595478776146,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","56684d08-371d-ca88-16cf-e095618ad483_134728_1.png",6455038,295005,27445,1213755,0.912290594855192,0.838726401132605,0.995766282765416,0.841728026822474,0.844679982826201,0.912290594855192,0.914886028841681,0.195528115803706,0.00423371723458434,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","7e63bf8d-5610-726c-f6ab-7421ed7c18fd_161152_2.png",6812933,232423,7608,789356,0.944742883331496,0.895272695543711,0.99888454596197,0.896168640787005,0.898376500831387,0.944742883331496,0.968304094054518,0.227468953658276,0.00111545403803012,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","d5907b31-ce36-7334-168a-45b235153f97_142531_2.png",2750324,293263,2151,2320302,0.703128848777486,0.542173251455761,0.999218521512457,0.542403245674203,0.567194243799897,0.703128848777486,0.992718693088344,0.112208037680333,0.000781478487543029,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","7bed7bdd-d0af-cb27-b26c-ec8dd758c13d_163729_3.png",2855943,1345033,8813,42819,0.991041582588967,0.982242246545661,0.996923647249539,0.985228521693054,0.987858744563336,0.991041582588967,0.993490396987545,0.969147286598283,0.00307635275046112,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","dc136a81-d3ff-9bc7-279b-395bfecb1ce3_154313_1.png",20010933,10839821,284582,188309,0.988322167237601,0.976913929742806,0.9859780843206,0.990677422449813,0.984903066038451,0.988322167237601,0.974418222712715,0.982924666285218,0.0140219156794001,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","41a3604a-76bd-d0c1-802d-8dec5b7bd91d_153025_3.png",2996691,4531337,118874,51174,0.972410167715055,0.946301858157556,0.961845122794742,0.983209886264648,0.977910324605785,0.972410167715055,0.974436858886618,0.988832760030472,0.0381548772052581,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","95031375-df8d-17e5-9a91-20de2ed0d02b_155923_1.png",4587290,418491,2011,3719116,0.711444514054173,0.552125633559317,0.999561806906978,0.552259304445268,0.573603044743912,0.711444514054173,0.995217620843658,0.101143245358972,0.000438193093022227,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","63515737-df00-8806-b37c-2eeed3f51d2f_160144_5.png",8745773,2207545,15183,233349,0.985990365995009,0.972367848321799,0.998266969951681,0.974012047057608,0.977813307623294,0.985990365995009,0.993169204689013,0.904400191077531,0.00173303004831893,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","0a27a470-b16c-7ffd-586b-263aff58f3c5_151319_3.png",3655991,210623,7866,694154,0.912400820463983,0.838912751711733,0.99785308214813,0.840429686826531,0.846339190226225,0.912400820463983,0.963998187551776,0.232789958188592,0.00214691785187031,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","56684d08-371d-ca88-16cf-e095618ad483_134728_4.png",3402249,252400,12915,934788,0.877750460804615,0.782134837349929,0.99621833680608,0.784463909346404,0.794082895006727,0.877750460804615,0.951322013455704,0.212603227121568,0.00378166319391982,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","7619a4ca-ed05-1dc2-f55c-d5b01e2c71b2_170239_3.png",10145333,1700508,3878,21257,0.998762785676036,0.997528628967713,0.999617901332429,0.997909131773781,0.99788265092946,0.998762785676036,0.997724693819358,0.98765394812881,0.000382098667571302,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","7619a4ca-ed05-1dc2-f55c-d5b01e2c71b2_170239_6.png",2383556,569976,9196,49281,0.987881893795763,0.97605396814867,0.99615672664781,0.979743402455652,0.980585383377009,0.987881893795763,0.984122160601687,0.920419147462201,0.00384327335219028,0.25,1.25,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","e64bebf4-9607-79c9-1f30-ec705b16f913_135513_2.png",13243665,3204459,87914,52121,0.994740936626662,0.989536899362658,0.993405582339496,0.996079885762301,0.991558134932273,0.994740936626662,0.973297679211924,0.983995172850045,0.00659441766050368,0.25,1.25,"Colon","GrandQC"
