Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,015b92ff-7984-c969-27c5-4144ab20b802_144644_8.png,19298513,4873602,77478,1273723,0.966176196004894,0.9345656312721813,0.9960013400088801,0.9380853398726322,0.9470601312149252,0.9661761960048941,0.984351293051213,0.7928004457223263,0.003998659991119938,0.75,0.75
HistoKit (no postprocessing),gaussian,34677a0d-5045-a6c6-f661-b69bd9d6f859_140044_2.png,23271916,1124736,59965,43390,0.9977843251298304,0.9955784469835666,0.9974299114589176,0.9981389907556865,0.9957814297767343,0.9977843251298306,0.9493838529721845,0.9628550344740208,0.0025700885410824786,0.75,0.75
HistoKit (no postprocessing),gaussian,91e6ffad-da04-5736-d731-feb79e91105c_134712_2.png,6761055,190492,986,944711,0.934634392067851,0.8772898102858376,0.9998541860364348,0.8774020648953005,0.880249742821673,0.9346343920678509,0.9948505833568347,0.1678043486495367,0.00014581396356514253,0.75,0.75
HistoKit (no postprocessing),gaussian,59481929-3828-f3c5-2452-07bdbf0def53_144939_2.png,22532560,2394785,5662,278033,0.9937441584747032,0.9875661014482876,0.999748782312997,0.9878112331406729,0.9887471917064905,0.9937441584747033,0.997641272646303,0.8959775787202869,0.0002512176870029943,0.75,0.75
HistoKit (no postprocessing),gaussian,8a22c195-cd7e-901b-eb5d-b1439c8b19ac_152323_3.png,3876315,438470,106299,2725,0.9861321803274476,0.9726437324403269,0.9733092386055993,0.9992975065995711,0.9753551746922166,0.9861321803274476,0.8048732582066894,0.9938235927424381,0.026690761394400762,0.75,0.75
HistoKit (no postprocessing),gaussian,654bcee2-3394-aaf6-25f2-380d7ca46c60_144121_7.png,5255205,321883,19,504731,0.9541767890797773,0.9123691070503155,0.9999963845499259,0.9123721166346292,0.9170069968979773,0.9541767890797773,0.9999409758249405,0.3893994052846915,3.6154500740596403e-06,0.75,0.75
HistoKit (no postprocessing),gaussian,8b8e8141-b9e0-9b57-cdad-61702acf8a5e_150400_2.png,14511898,501507,8351,1761144,0.9425363466347264,0.8913179603244022,0.9994248721216833,0.891775366892066,0.894565599509024,0.9425363466347265,0.9836209297490673,0.22164575977470674,0.0005751278783166873,0.75,0.75
HistoKit (no postprocessing),gaussian,8b8e8141-b9e0-9b57-cdad-61702acf8a5e_150400_5.png,2334172,227522,15,1593877,0.7454755777329376,0.5942296255865485,0.99999357377965,0.5942318947650602,0.6164459115994712,0.7454755777329376,0.9999340766556648,0.12491606726477834,6.426220349954823e-06,0.75,0.75
HistoKit (no postprocessing),gaussian,1cfd19dd-0b58-a07f-0753-c0e3d9e98b9b_133722_4.png,19589770,749382,3141,4787195,0.8910541389746016,0.8035145540384443,0.9998396869153339,0.8036180878136389,0.8093739116371969,0.8910541389746016,0.9958260411974119,0.13535113843806382,0.0001603130846661836,0.75,0.75
HistoKit (no postprocessing),gaussian,c282e7fa-bbd4-0343-5231-dcd676a3dd4f_140949_1.png,4471300,5048804,2255882,46341,0.7952637404786185,0.6601143895134038,0.6646616666532881,0.9897422128053115,0.8052648180007201,0.7952637404786185,0.6911733098452144,0.9909048712058244,0.33533833334671187,0.75,0.75
HistoKit (no postprocessing),gaussian,6875bf3f-1b6d-1a53-f365-0d72c060072a_140344_1.png,22745458,512429,9581,2405404,0.9495889869600824,0.904016594620373,0.9995789504030295,0.904360971802875,0.90593241768977,0.9495889869600825,0.9816459454799716,0.17561971504195065,0.0004210495969705875,0.75,0.75
HistoKit (no postprocessing),gaussian,3c8a2c44-1287-eab9-5fb8-1902a0075b0d_153549_11.png,12777243,2016227,58230,61086,0.9953526166478965,0.9907482298185121,0.9954633537852481,0.995241904145002,0.9919990805205681,0.9953526166478964,0.9719300038516103,0.9705937429746986,0.004536646214751883,0.75,0.75
HistoKit (no postprocessing),gaussian,7a951edf-c71d-16ea-3e52-69a0dd7b54e1_133148_4.png,10255068,1820919,651,338668,0.9837252820277557,0.9679718137538302,0.9999365232218238,0.9680312969853129,0.972669300297552,0.9837252820277557,0.9996426159851117,0.8431792745557368,6.347677817615713e-05,0.75,0.75
HistoKit (no postprocessing),gaussian,bffc0a6a-719c-940b-52f7-9a2879514091_151206_1.png,29070098,858955,49194,137253,0.9968033990915609,0.9936271695786362,0.9983106045298079,0.9953007378176816,0.9938089355979479,0.9968033990915609,0.945830474955101,0.862224555514511,0.0016893954701920637,0.75,0.75
HistoKit (no postprocessing),gaussian,cfd234aa-a9c1-9363-1732-dc841509f243_163200_1.png,7905584,1826075,8784,3189397,0.8317574683909481,0.7119732811348223,0.9988901198427973,0.712536957025884,0.7526511542292866,0.8317574683909481,0.9952127111674521,0.3640883649634571,0.0011098801572026976,0.75,0.75
HistoKit (no postprocessing),gaussian,997c9bdf-d489-63a3-9c13-1b5273502c59_152111_4.png,4657302,2740199,78689,61301,0.985193441410599,0.9708189536930418,0.9833848924121689,0.9870086548921365,0.9814275068454477,0.9851934414105988,0.9720850917099225,0.9781185079421738,0.016615107587831142,0.75,0.75
HistoKit (no postprocessing),gaussian,654bcee2-3394-aaf6-25f2-380d7ca46c60_144121_5.png,6609435,495284,1062,821543,0.9414160549372484,0.8893163922691482,0.9998393464213053,0.8894434891342701,0.8962316918041953,0.9414160549372483,0.9978603635367264,0.3761192624391815,0.00016065357869461252,0.75,0.75
HistoKit (no postprocessing),gaussian,b3ac8263-eb4f-ecee-6126-3ea976dfb769_143901_2.png,36906713,4774844,172445,284390,0.9938490185190005,0.9877732435902501,0.9953492741124272,0.9923532786860342,0.9891586987942017,0.9938490185190005,0.9651435361871926,0.9437879331139852,0.004650725887572744,0.75,0.75
HistoKit (no postprocessing),gaussian,1cfd19dd-0b58-a07f-0753-c0e3d9e98b9b_133722_1.png,18883864,1041219,4685,4561207,0.8921450138211663,0.8052904260496356,0.9997519661250845,0.8054513462552534,0.8135683859054202,0.8921450138211662,0.9955206213954627,0.1858514507822147,0.00024803387491543154,0.75,0.75
HistoKit (no postprocessing),gaussian,997c9bdf-d489-63a3-9c13-1b5273502c59_152111_3.png,17026636,448330,207285,183253,0.9886615911538241,0.977577418701794,0.9879722670192117,0.9893518778651041,0.9781401073263872,0.988661591153824,0.6838312119155296,0.7098512784542966,0.012027732980788295,0.75,0.75
HistoKit (no postprocessing),gaussian,e338d5a6-7427-4506-5755-323615d750be_135343_4.png,13138450,1589187,149247,328537,0.9821420428662136,0.964910708790698,0.9887680310591068,0.9756042684232189,0.9685780485788588,0.9821420428662136,0.9141485958051901,0.8286838982043297,0.01123196894089322,0.75,0.75
HistoKit (no postprocessing),gaussian,8a46ca7f-3853-419d-26c8-1bf78b04ebee_163832_3.png,7119752,126093,13684,162209,0.9877982548798344,0.9758906854705787,0.9980817098520264,0.9777245442539447,0.9763002951599746,0.9877982548798344,0.9021012040607539,0.43736429161088025,0.0019182901479735711,0.75,0.75
