"Method","Mode","Image","TP","TN","FP","FN","DICE","JACCARD","PRECISION","RECALL","ACCURACY","F1","SPECIFICITY","NPV","FDR","Overlap","Sigma","Organ","Dataset"
"HistoKit (no postprocessing)","constant","dc136a81-d3ff-9bc7-279b-395bfecb1ce3_154313_2.png",27137375,886506,25423,30180,0.998976575764196,0.997955244181053,0.999064050765315,0.998889116079824,0.998019799794042,0.998976575764196,0.972121733161244,0.96707705801114,0.00093594923468488,0.75,NA,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","2dc79713-fe92-e338-056d-e78ad1a4ce13_164524_11.png",0,5172950,36394,0,0,0,0,NA,0.993013707676053,NA,0.993013707676053,1,1,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","1be40c17-0405-b8eb-ad17-4ef04954d623_152129_1.png",8087228,3541493,152052,196523,0.978903689038652,0.958679096702472,0.981545474847317,0.976276085555927,0.970897020496112,0.978903689038652,0.958833045218076,0.947425853714912,0.0184545251526832,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","d453b2d1-a9e4-4e23-336a-b459202a3483_134957_4.png",6709032,3509213,0,63052,0.99532293913946,0.990689424407612,1,0.990689424407612,0.993867310709923,0.99532293913946,1,0.982349573729832,0,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","270d8023-676b-6232-2685-5d351aceebe3_141155_2.png",11836009,1114345,22495,28751,0.997839841937433,0.995688996324214,0.998103049086124,0.997576773571484,0.996058485109525,0.997839841937433,0.980212694838324,0.974848131740466,0.00189695091387581,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","05946af2-9c28-2772-aad0-50112b864693_161912_1.png",2644648,2700508,183595,112575,0.946974880878337,0.899289925456115,0.935085139431089,0.959170875913918,0.947499931753634,0.946974880878337,0.936342426050665,0.959981628697056,0.0649148605689115,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","f6e1dfa1-5106-6910-1781-639e714c1d19_164025_2.png",18394270,446020,30316,1131011,0.969398390776969,0.94061408608492,0.998354589894177,0.942074534036155,0.941938344284865,0.969398390776969,0.936355849652346,0.282822595117027,0.00164541010582273,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","3387f347-06dd-7f7b-50b8-8d1a72088303_152337_3.png",10382842,1927933,265494,2836075,0.870049184126887,0.769988544549703,0.975067090294671,0.785453301507226,0.79876072062757,0.870049184126887,0.878959272407972,0.404687187762909,0.0249329097053286,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","3ac230b9-44c8-f340-4d1e-154210441df7_162156_4.png",8651061,417510,3311,2083843,0.892355238019202,0.805633059125749,0.999617418802889,0.805881543048731,0.812907363707872,0.892355238019202,0.992132046642159,0.166913666323786,0.000382581197110547,0.9,1.75,"Colon","GrandQC"
"HistoKit (no postprocessing)","gaussian","a3ea1aa4-9d27-f0ff-d78c-d53e7ea281e3_155514_4.png",6167262,2056859,40793,32134,0.994122322143364,0.988313334740342,0.993429020844693,0.994816591809912,0.991210488356823,0.994122322143364,0.980553018327158,0.98461746879956,0.0065709791553071,0.9,1.75,"Colon","GrandQC"
