Method,Mode,Image,Tissue_TP,Tissue_TN,Tissue_FP,Tissue_FN,Tissue_DICE,Tissue_JACCARD,Tissue_PRECISION,Tissue_RECALL,Tissue_ACCURACY,Tissue_F1,Tissue_SPECIFICITY,Tissue_NPV,Tissue_FDR,Background_TP,Background_TN,Background_FP,Background_FN,Background_DICE,Background_JACCARD,Background_PRECISION,Background_RECALL,Background_ACCURACY,Background_F1,Background_SPECIFICITY,Background_NPV,Background_FDR,Fold_TP,Fold_TN,Fold_FP,Fold_FN,Fold_DICE,Fold_JACCARD,Fold_PRECISION,Fold_RECALL,Fold_ACCURACY,Fold_F1,Fold_SPECIFICITY,Fold_NPV,Fold_FDR,Dark.Spot_TP,Dark.Spot_TN,Dark.Spot_FP,Dark.Spot_FN,Dark.Spot_DICE,Dark.Spot_JACCARD,Dark.Spot_PRECISION,Dark.Spot_RECALL,Dark.Spot_ACCURACY,Dark.Spot_F1,Dark.Spot_SPECIFICITY,Dark.Spot_NPV,Dark.Spot_FDR,Pen_TP,Pen_TN,Pen_FP,Pen_FN,Pen_DICE,Pen_JACCARD,Pen_PRECISION,Pen_RECALL,Pen_ACCURACY,Pen_F1,Pen_SPECIFICITY,Pen_NPV,Pen_FDR,Edge_TP,Edge_TN,Edge_FP,Edge_FN,Edge_DICE,Edge_JACCARD,Edge_PRECISION,Edge_RECALL,Edge_ACCURACY,Edge_F1,Edge_SPECIFICITY,Edge_NPV,Edge_FDR,Out.Of.Focus_TP,Out.Of.Focus_TN,Out.Of.Focus_FP,Out.Of.Focus_FN,Out.Of.Focus_DICE,Out.Of.Focus_JACCARD,Out.Of.Focus_PRECISION,Out.Of.Focus_RECALL,Out.Of.Focus_ACCURACY,Out.Of.Focus_F1,Out.Of.Focus_SPECIFICITY,Out.Of.Focus_NPV,Out.Of.Focus_FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,8b8e8141-b9e0-9b57-cdad-61702acf8a5e_150400_2.png,14368980,503081,6777,1904062,0.9376537070832694,0.8826252920870926,0.9995285813470554,0.8829928663614338,0.8861436938788886,0.9376537070832694,0.9867080638138462,0.2089950617807085,0.0004714186529446762,211367,16571533,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,16771707,9086,2107,0.0,0.0,0.0,0.0,0.9993330711617182,,0.9994585476383625,0.999874387542392,1.0,123,16472899,13617,296261,0.0007932310946589106,0.00039677291363576247,0.008951965065502183,0.0004150021593608292,0.9815360873269816,0.0007932310946589106,0.999174052298254,0.9823329850749829,0.9910480349344978,0,16631805,151095,0,0.0,0.0,0.0,,0.9909970863200043,,0.9909970863200043,1.0,1.0,0,14762969,2019931,0,0.0,0.0,0.0,,0.8796435061878459,,0.8796435061878459,1.0,1.0,0,16780976,1924,0,0.0,0.0,0.0,,0.9998853595028273,,0.9998853595028273,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,1cfd19dd-0b58-a07f-0753-c0e3d9e98b9b_133722_4.png,17848522,751594,929,6528443,0.8453723375433994,0.7321601283523507,0.9999479535813174,0.7321880307905434,0.7401709099684005,0.8453723375433992,0.99876548623763,0.10324040935506235,5.2046418682569005e-05,203699,24925789,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,25128349,1139,0,0.0,0.0,0.0,,0.9999546747629717,,0.9999546747629717,1.0,1.0,23,24580664,0,548801,8.381206420004117e-05,4.190778828914187e-05,1.0,4.190778828914187e-05,0.9781610751480492,8.381206420004117e-05,1.0,0.9781610551597497,0.0,0,25129488,0,0,,,,,1.0,,1.0,1.0,,0,18064134,7065354,0,0.0,0.0,0.0,,0.7188421029509237,,0.7188421029509237,1.0,1.0,0,25119666,9822,0,0.0,0.0,0.0,,0.9996091444441685,,0.9996091444441685,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,34677a0d-5045-a6c6-f661-b69bd9d6f859_140044_2.png,23262577,1121596,63105,52729,0.9975164762804767,0.995045257780779,0.9972946128649101,0.9977384384318181,0.9952720829834865,0.9975164762804768,0.9467333951773486,0.9550984608179167,0.0027053871350899835,1025754,23474253,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,84281,24330527,13965,71234,0.6642549485539543,0.4972917158366769,0.8578568084196813,0.5419477220846863,0.9965224907894924,0.6642549485539543,0.9994263589480528,0.9970807844564988,0.1421431915803188,710,24496177,398,2722,0.31277533039647576,0.185378590078329,0.6407942238267148,0.20687645687645687,0.9998726530976093,0.31277533039647576,0.9999837528307529,0.9998888929661697,0.3592057761732852,0,24500007,0,0,,,,,1.0,,1.0,1.0,,0,24489614,10393,0,0.0,0.0,0.0,,0.9995757960395685,,0.9995757960395685,1.0,1.0,0,24461183,38824,0,0.0,0.0,0.0,,0.9984153473915334,,0.9984153473915334,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,59481929-3828-f3c5-2452-07bdbf0def53_144939_2.png,22492553,2395606,4841,318040,0.9928736405790882,0.9858481324527949,0.9997848195217632,0.9860573550192229,0.9871928726462692,0.9928736405790882,0.9979832922784798,0.8827997461717556,0.00021518047823672378,18539,25192501,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2355895,22534925,294207,26013,0.9363634015035741,0.8803414651463035,0.8889827636823036,0.989078923283351,0.9872984216438513,0.9363634015035741,0.9871126506255253,0.9988469894292515,0.11101723631769646,0,25211024,16,0,0.0,0.0,0.0,,0.999999365357399,,0.999999365357399,1.0,1.0,0,25176607,34433,0,0.0,0.0,0.0,,0.9986342094574441,,0.9986342094574441,1.0,1.0,0,25210928,112,0,0.0,0.0,0.0,,0.9999955575017929,,0.9999955575017929,1.0,1.0,0,25200596,10444,0,0.0,0.0,0.0,,0.9995857370421847,,0.9995857370421847,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,015b92ff-7984-c969-27c5-4144ab20b802_144644_8.png,19085789,4880481,70599,1486447,0.9608079554932484,0.9245720851811294,0.9963145975118065,0.9277449957311398,0.9389951525107474,0.9608079554932484,0.9857406868804383,0.7665362322300487,0.0036854024881934947,441621,25081695,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,25523316,0,0,,,,,1.0,,1.0,1.0,,0,25493552,29764,0,0.0,0.0,0.0,,0.9988338505858722,,0.9988338505858722,1.0,1.0,0,25523316,0,0,,,,,1.0,,1.0,1.0,,3128514,21526711,867753,338,0.8781647015298972,0.7827928954700302,0.7828591032581156,0.9998919731582062,0.9659883143710637,0.8781647015298971,0.9612514503584457,0.9999842988233083,0.21714089674188436,1246775,23490208,652501,133832,0.7602557774164506,0.613235991398391,0.6564475094720303,0.9030629281178496,0.9691915815327444,0.7602557774164506,0.9729731655217316,0.9943349232392089,0.3435524905279696,0.25,1.75
HistoKit (no postprocessing),gaussian,8b8e8141-b9e0-9b57-cdad-61702acf8a5e_150400_5.png,2283001,227536,1,1645048,0.7351416048588234,0.5812046689833378,0.9999995619802348,0.5812048169460208,0.6041354937667034,0.7351416048588234,0.9999956051103777,0.12150910186138512,4.3801976520388506e-07,93586,4062000,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,4155586,0,0,,,,,1.0,,1.0,1.0,,0,4021635,0,133951,0.0,0.0,,0.0,0.9677660382915911,,1.0,0.9677660382915911,,0,4155586,0,0,,,,,1.0,,1.0,1.0,,0,2376588,1778998,0,0.0,0.0,0.0,,0.571902013338191,,0.571902013338191,1.0,1.0,0,4155586,0,0,,,,,1.0,,1.0,1.0,,0.25,1.75
HistoKit (no postprocessing),gaussian,6875bf3f-1b6d-1a53-f365-0d72c060072a_140344_1.png,22395378,514073,7937,2755484,0.9418889953662746,0.8901608538626983,0.9996457220728272,0.8904417669660786,0.8923602704052744,0.9418889953662747,0.984795310434666,0.1572301691024197,0.00035427792717283136,257859,25415013,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,25666404,6468,0,0.0,0.0,0.0,,0.9997480609103648,,0.9997480609103648,1.0,1.0,2579,25407044,1677,261572,0.01921708450226708,0.009701762041620897,0.6059680451127819,0.009763355050709632,0.9897460245195785,0.01921708450226708,0.9999339990391488,0.9898096570535786,0.39403195488721804,0,25672872,0,0,,,,,1.0,,1.0,1.0,,0,22682368,2990504,0,0.0,0.0,0.0,,0.8835150192779366,,0.8835150192779366,1.0,1.0,0,25662402,10470,0,0.0,0.0,0.0,,0.9995921765200247,,0.9995921765200247,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,3c8a2c44-1287-eab9-5fb8-1902a0075b0d_153549_11.png,12767937,2018279,56178,70392,0.995067889870505,0.9901841923851761,0.9956193468321206,0.9945170434563564,0.991512652297163,0.995067889870505,0.9729191783681224,0.9662981867417128,0.004380653167879421,31216,14881570,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1893761,12850121,20545,148359,0.9573089449922734,0.918113702418958,0.9892676510442949,0.9273504985015572,0.9886738802528247,0.9573089449922734,0.9984037345076004,0.9885864347215982,0.010732348955705096,0,14895831,15834,1121,0.0,0.0,0.0,0.0,0.998863056172066,,0.9989381467461883,0.9999247497071885,1.0,0,14832303,80483,0,0.0,0.0,0.0,,0.9946030875786724,,0.9946030875786724,1.0,1.0,0,14912786,0,0,,,,,1.0,,1.0,1.0,,0,14865954,46832,0,0.0,0.0,0.0,,0.9968596075877438,,0.9968596075877438,1.0,1.0,0.25,1.75
HistoKit (no postprocessing),gaussian,c282e7fa-bbd4-0343-5231-dcd676a3dd4f_140949_1.png,4334804,5046343,2258343,182837,0.7802874107579049,0.6397305542634103,0.6574711590686512,0.9595282139505994,0.7935110405929391,0.780287410757905,0.6908364028241597,0.9650352445316475,0.3425288409313489,1281032,10541295,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,11821485,842,0,0.0,0.0,0.0,,0.9999287788267065,,0.9999287788267065,1.0,1.0,884,11821210,146,87,0.8835582208895553,0.7914055505819159,0.858252427184466,0.9104016477857878,0.9999802915280553,0.8835582208895553,0.9999876494710083,0.9999926404014721,0.141747572815534,0,11822327,0,0,,,,,1.0,,1.0,1.0,,2392038,7084581,172308,2173400,0.6709987287132401,0.5048894558720539,0.9328062593737351,0.5239449095574181,0.8015866081186893,0.6709987287132401,0.9762559410788838,0.7652403909664537,0.06719374062626494,1339393,10322545,42537,117852,0.9435085896431181,0.8930584578292046,0.9692191355567937,0.9191268455201425,0.986433381516177,0.9435085896431181,0.9958961250861306,0.9887119235025258,0.03078086444320624,0.25,1.75
HistoKit (no postprocessing),gaussian,bffc0a6a-719c-940b-52f7-9a2879514091_151206_1.png,28956546,857066,51083,250805,0.9948142557121895,0.9896820178414196,0.9982389805109545,0.9914129494318057,0.9899756603742259,0.9948142557121895,0.9437504198099651,0.7736153396920761,0.0017610194890454508,29271,30086229,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,806816,29210208,28666,69810,0.942482600396704,0.891221837815865,0.9656892667944971,0.9203651272036193,0.9967300559512543,0.9424826003967038,0.9990195928885633,0.9976157801542335,0.03431073320550293,1573,30111846,1402,679,0.6018748804285441,0.4304871373836891,0.5287394957983194,0.6984902309058615,0.999930899370756,0.6018748804285442,0.9999534424184332,0.999977451243295,0.4712605042016807,0,29909081,206419,0,0.0,0.0,0.0,,0.993145755507961,,0.993145755507961,1.0,1.0,0,30115500,0,0,,,,,1.0,,1.0,1.0,,0,30081776,33724,0,0.0,0.0,0.0,,0.9988801779814381,,0.9988801779814381,1.0,1.0,0.25,1.75
