Method,Mode,Image,Tissue_TP,Tissue_TN,Tissue_FP,Tissue_FN,Tissue_DICE,Tissue_JACCARD,Tissue_PRECISION,Tissue_RECALL,Tissue_ACCURACY,Tissue_F1,Tissue_SPECIFICITY,Tissue_NPV,Tissue_FDR,Background_TP,Background_TN,Background_FP,Background_FN,Background_DICE,Background_JACCARD,Background_PRECISION,Background_RECALL,Background_ACCURACY,Background_F1,Background_SPECIFICITY,Background_NPV,Background_FDR,Fold_TP,Fold_TN,Fold_FP,Fold_FN,Fold_DICE,Fold_JACCARD,Fold_PRECISION,Fold_RECALL,Fold_ACCURACY,Fold_F1,Fold_SPECIFICITY,Fold_NPV,Fold_FDR,Dark.Spot_TP,Dark.Spot_TN,Dark.Spot_FP,Dark.Spot_FN,Dark.Spot_DICE,Dark.Spot_JACCARD,Dark.Spot_PRECISION,Dark.Spot_RECALL,Dark.Spot_ACCURACY,Dark.Spot_F1,Dark.Spot_SPECIFICITY,Dark.Spot_NPV,Dark.Spot_FDR,Pen_TP,Pen_TN,Pen_FP,Pen_FN,Pen_DICE,Pen_JACCARD,Pen_PRECISION,Pen_RECALL,Pen_ACCURACY,Pen_F1,Pen_SPECIFICITY,Pen_NPV,Pen_FDR,Edge_TP,Edge_TN,Edge_FP,Edge_FN,Edge_DICE,Edge_JACCARD,Edge_PRECISION,Edge_RECALL,Edge_ACCURACY,Edge_F1,Edge_SPECIFICITY,Edge_NPV,Edge_FDR,Out.Of.Focus_TP,Out.Of.Focus_TN,Out.Of.Focus_FP,Out.Of.Focus_FN,Out.Of.Focus_DICE,Out.Of.Focus_JACCARD,Out.Of.Focus_PRECISION,Out.Of.Focus_RECALL,Out.Of.Focus_ACCURACY,Out.Of.Focus_F1,Out.Of.Focus_SPECIFICITY,Out.Of.Focus_NPV,Out.Of.Focus_FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,3ac230b9-44c8-f340-4d1e-154210441df7_162156_3.png,7082829,573203,19291,4657085,0.7518115082479949,0.6023220957539221,0.9972837687901641,0.6033118300525881,0.6208059285745331,0.7518115082479948,0.9674410204997856,0.10959300902741875,0.0027162312098359363,202673,12129735,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,12330730,0,1678,0.0,0.0,,0.0,0.9998639357374488,,1.0,0.9998639357374488,,31501,11937848,6417,356642,0.1478708447851364,0.07983830089213301,0.8307663906324173,0.08115823291931067,0.970560575031251,0.1478708447851364,0.9994627547195244,0.9709917206813784,0.16923360936758267,0,12330946,1462,0,0.0,0.0,0.0,,0.9998814505650478,,0.9998814505650478,1.0,1.0,0,7344173,4988235,0,0.0,0.0,0.0,,0.5955181664440554,,0.5955181664440554,1.0,1.0,0,12332408,0,0,,,,,1.0,,1.0,1.0,,0.75,2.25
HistoKit (no postprocessing),gaussian,fd180adf-3e50-54f8-dd46-abdbb7479781_134429_1.png,6271587,2236496,36503,19207,0.9955781797816378,0.9911952923973697,0.9942133038685244,0.9969468083043254,0.99349470497477,0.9955781797816379,0.9839406000618566,0.9914851378927102,0.005786696131475613,21618,8542175,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2115248,6305770,6642,136133,0.9673528121170629,0.9367699088981821,0.9968697717600818,0.9395335574032116,0.9833280650291291,0.967352812117063,0.9989477873117281,0.9788675799682175,0.003130228239918186,0,8563793,0,0,,,,,1.0,,1.0,1.0,,0,8557234,6559,0,0.0,0.0,0.0,,0.9992341010577906,,0.9992341010577906,1.0,1.0,0,8550377,13416,0,0.0,0.0,0.0,,0.9984334044505746,,0.9984334044505746,1.0,1.0,0,8471573,92220,0,0.0,0.0,0.0,,0.9892314071580198,,0.9892314071580198,1.0,1.0,0.75,2.25
HistoKit (no postprocessing),gaussian,58dff1be-4537-9c42-d313-957df44346bb_144618_2.png,13506561,4087845,96821,354273,0.983575209283236,0.9676812473155412,0.9928825787587234,0.9744407154720993,0.9750024105732731,0.983575209283236,0.9768629085332019,0.9202468282022225,0.007117421241276618,50388,17995112,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,23699,17855636,142761,23404,0.2219391935869041,0.12482092445118612,0.1423705394689415,0.503131435365051,0.9907918871740877,0.22193919358690406,0.9920681269559728,0.9986909811712485,0.8576294605310585,0,18045266,234,0,0.0,0.0,0.0,,0.999987032778255,,0.999987032778255,1.0,1.0,0,17965321,80179,0,0.0,0.0,0.0,,0.9955568424260897,,0.9955568424260897,1.0,1.0,3614592,14269400,105853,55655,0.9781471071991635,0.9572288869468499,0.9715482959699714,0.984836170426677,0.9910499570530049,0.9781471071991636,0.9926364426420877,0.9961148491227433,0.028451704030028665,261346,17465506,163066,155582,0.6212613212256638,0.45060121311599777,0.6157837195932254,0.6268372476782562,0.982341968911917,0.6212613212256638,0.9907499030551085,0.9911706927517756,0.3842162804067745,0.75,2.25
HistoKit (no postprocessing),gaussian,9c11305f-9a45-9e5e-ad0d-26ee9868ea85_151624_1.png,0,6835886,783,45207,0.0,0.0,0.0,0.0,0.9933172291973874,,0.9998854705412826,0.9934302588266137,1.0,92833,6789043,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,6881876,0,0,,,,,1.0,,1.0,1.0,,0,6879721,0,2155,0.0,0.0,,0.0,0.9996868586414518,,1.0,0.9996868586414518,,0,6881876,0,0,,,,,1.0,,1.0,1.0,,6220366,642409,18963,138,0.998466993899517,0.9969386808200124,0.9969607308734642,0.9999778153024257,0.997224448682307,0.9984669938995169,0.9713277852706192,0.9997852297186043,0.0030392691265358823,519771,6331539,29160,1406,0.9714365279018566,0.9444594857332871,0.9468785694376889,0.997302260076711,0.9955584785311447,0.9714365279018566,0.9954155981913309,0.9997779863870601,0.05312143056231111,0.75,2.25
HistoKit (no postprocessing),gaussian,7e63bf8d-5610-726c-f6ab-7421ed7c18fd_161152_1.png,18917161,399822,43224,1299860,0.9657178936247081,0.9337084028352076,0.9977202994559445,0.9357046718208385,0.9349913047232615,0.9657178936247081,0.9024390243902439,0.23523341425043037,0.0022797005440554083,163501,20496566,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,362,20642911,815,15979,0.04132891882635004,0.021100489624621122,0.30756159728122345,0.022152867021602105,0.9991871275151237,0.041328918826350036,0.9999605206928246,0.9992265315319458,0.6924384027187765,8156,20389977,6886,255048,0.058624382740452695,0.030197341626865118,0.5422151309666268,0.030987371012598592,0.9873217255297381,0.05862438274045268,0.999662399065974,0.9876460309445012,0.45778486903337323,0,20660017,50,0,0.0,0.0,0.0,,0.9999975798723209,,0.9999975798723209,1.0,1.0,0,19219273,1440794,0,0.0,0.0,0.0,,0.9302618912126471,,0.9302618912126471,1.0,1.0,0,20580949,79118,0,0.0,0.0,0.0,,0.9961704867656044,,0.9961704867656044,1.0,1.0,0.75,2.25
HistoKit (no postprocessing),gaussian,95031375-df8d-17e5-9a91-20de2ed0d02b_155923_2.png,5603880,238048,1651,1896840,0.8551461436226119,0.7469478648816488,0.9997054694729188,0.7471122772213867,0.7547302025898082,0.8551461436226119,0.9931121948777425,0.11150374164827383,0.00029453052708119893,74160,7666259,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,7739966,453,0,0.0,0.0,0.0,,0.9999414760363747,,0.9999414760363747,1.0,1.0,0,7574880,0,165539,0.0,0.0,,0.0,0.9786136900340925,,1.0,0.9786136900340925,,0,7665229,75190,0,0.0,0.0,0.0,,0.9902860555739941,,0.9902860555739941,1.0,1.0,0,5755964,1984455,0,0.0,0.0,0.0,,0.7436243438501198,,0.7436243438501198,1.0,1.0,0,7739789,630,0,0.0,0.0,0.0,,0.99991860905721,,0.99991860905721,1.0,1.0,0.75,2.25
HistoKit (no postprocessing),gaussian,7619a4ca-ed05-1dc2-f55c-d5b01e2c71b2_170239_2.png,5106484,786285,38134,53337,0.9911231460538512,0.9824025025226267,0.9925875934811875,0.9896630135037631,0.9847146839030521,0.9911231460538512,0.9537443945372438,0.9364749851718988,0.0074124065188124755,33008,5951232,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,753185,5147038,45791,38226,0.9471719776381472,0.8996454857967372,0.9426878904998398,0.9516989276115697,0.9859602890258412,0.9471719776381472,0.9911818779320483,0.9926279549122282,0.057312109500160205,0,5984240,0,0,,,,,1.0,,1.0,1.0,,0,5984240,0,0,,,,,1.0,,1.0,1.0,,0,5984181,59,0,0.0,0.0,0.0,,0.9999901407697552,,0.9999901407697552,1.0,1.0,0,5976661,7579,0,0.0,0.0,0.0,,0.9987335066775397,,0.9987335066775397,1.0,1.0,0.75,2.25
HistoKit (no postprocessing),gaussian,222ae6ec-aad2-d76b-96ce-832119c855bb_161654_1.png,0,13414076,15428,0,0.0,0.0,0.0,,0.9988511861644331,,0.9988511861644331,1.0,1.0,1705329,11724175,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,13429504,0,0,,,,,1.0,,1.0,1.0,,0,13428973,531,0,0.0,0.0,0.0,,0.9999604601927219,,0.9999604601927219,1.0,1.0,0,13387904,41600,0,0.0,0.0,0.0,,0.9969023427819821,,0.9969023427819821,1.0,1.0,0,13233213,196291,0,0.0,0.0,0.0,,0.9853836001687032,,0.9853836001687032,1.0,1.0,11470325,1705329,0,253850,0.9890555950764189,0.9783481566933281,1.0,0.9783481566933281,0.9810975893078404,0.9890555950764189,1.0,0.8704304200892312,0.0,0.75,2.25
HistoKit (no postprocessing),gaussian,22383f59-0019-4bd8-48c3-85b3dbec63de_150057_2.png,10362821,593451,10631,1681787,0.9245064916411143,0.8596114104415516,0.9989751723919867,0.860370134088216,0.8661981596513156,0.9245064916411143,0.982401395836989,0.2608302955558935,0.0010248276080132245,184395,12464295,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,533,12640543,3,7611,0.1228110599078341,0.06542285503866455,0.9944029850746269,0.06544695481335953,0.9993980404294832,0.12281105990783413,0.9999997626684797,0.9993982521085686,0.005597014925373134,0,12237147,0,411543,0.0,0.0,,0.0,0.9674635871382729,,1.0,0.9674635871382729,,0,12648080,610,0,0.0,0.0,0.0,,0.9999517736619365,,0.9999517736619365,1.0,1.0,0,10558993,2089697,0,0.0,0.0,0.0,,0.8347894525045677,,0.8347894525045677,1.0,1.0,0,12648690,0,0,,,,,1.0,,1.0,1.0,,0.75,2.25
HistoKit (no postprocessing),gaussian,bc67e5a0-18d9-7e77-9e7c-31a2ad635848_162418_4.png,4116734,5677531,712342,110519,0.9091396745855854,0.833415290119939,0.8524889647626172,0.9738555984229001,0.9224968225864514,0.9091396745855854,0.8885201630767935,0.9809056590734357,0.14751103523738288,102236,10514890,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,10616835,291,0,0.0,0.0,0.0,,0.9999725914527152,,0.9999725914527152,1.0,1.0,0,10613019,0,4107,0.0,0.0,,0.0,0.9996131721522378,,1.0,0.9996131721522378,,0,10617126,0,0,,,,,1.0,,1.0,1.0,,4405027,5713288,67194,431617,0.9464154867430132,0.8982815092994507,0.9849752505522423,0.9107610566334838,0.9530182650182356,0.9464154867430132,0.9883757098456496,0.9297601834365218,0.015024749447757613,1148589,9105527,64713,298297,0.8635397197491305,0.7598503306763236,0.9466637325249608,0.7938351742984588,0.9658090146052708,0.8635397197491306,0.9929431508880902,0.968279180894921,0.05333626747503919,0.75,2.25
HistoKit (no postprocessing),gaussian,dacb3a12-7e96-468f-217d-f09682601575_140850_3.png,4248403,322194,80,1020970,0.8927226888072272,0.8062322597810437,0.9999811697492964,0.8062445000572175,0.8173972713227426,0.8927226888072272,0.9997517640268839,0.23987688770693674,1.8830250703604087e-05,114735,5476912,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,5591647,0,0,,,,,1.0,,1.0,1.0,,0,5384108,0,207539,0.0,0.0,,0.0,0.962884101947065,,1.0,0.962884101947065,,0,5591647,0,0,,,,,1.0,,1.0,1.0,,0,4363218,1228429,0,0.0,0.0,0.0,,0.7803099873793893,,0.7803099873793893,1.0,1.0,0,5591647,0,0,,,,,1.0,,1.0,1.0,,0.75,2.25
HistoKit (no postprocessing),gaussian,22383f59-0019-4bd8-48c3-85b3dbec63de_150057_4.png,3206123,179138,0,582693,0.9166979154500132,0.8462071000544761,1.0,0.8462071000544761,0.853150263334706,0.9166979154500132,1.0,0.23514138962578315,0.0,52892,3915062,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,3967954,0,0,,,,,1.0,,1.0,1.0,,0,3841708,0,126246,0.0,0.0,,0.0,0.968183602934913,,1.0,0.968183602934913,,0,3967954,0,0,,,,,1.0,,1.0,1.0,,0,3259098,708856,0,0.0,0.0,0.0,,0.8213547838508208,,0.8213547838508208,1.0,1.0,0,3967871,83,0,0.0,0.0,0.0,,0.9999790824187982,,0.9999790824187982,1.0,1.0,0.75,2.25
HistoKit (no postprocessing),gaussian,7e63bf8d-5610-726c-f6ab-7421ed7c18fd_161152_3.png,6530291,343628,50858,1129581,0.9171099459792946,0.8469095662797167,0.9922721701028194,0.8525326532871568,0.8534409570570367,0.9171099459792946,0.8710778075774552,0.23325135808972114,0.007727829897180568,161586,7892772,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,8054358,0,0,,,,,1.0,,1.0,1.0,,50303,7799051,22407,182597,0.32919734301888026,0.19702945865174085,0.6918305597579425,0.215985401459854,0.9745474437565352,0.32919734301888026,0.9971351888612072,0.9771228949209486,0.3081694402420575,0,8054358,0,0,,,,,1.0,,1.0,1.0,,0,6815445,1238913,0,0.0,0.0,0.0,,0.8461810364029014,,0.8461810364029014,1.0,1.0,0,8054358,0,0,,,,,1.0,,1.0,1.0,,0.75,2.25
HistoKit (no postprocessing),gaussian,1488fbc9-017a-a46d-0a46-5c2b5553bccd_165456_1.png,5694716,227498,2687,842399,0.9309260896097419,0.8707780449622176,0.9995283816152728,0.8711359674718894,0.8751221314261227,0.9309260896097419,0.9883267806329691,0.21263542191444598,0.0004716183847272169,122845,6644455,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,6764268,3032,0,0.0,0.0,0.0,,0.9995519631167527,,0.9995519631167527,1.0,1.0,0,6659222,738,107340,0.0,0.0,0.0,0.0,0.9840293765608145,,0.9998891885236548,0.9841367004396029,1.0,0,6767300,0,0,,,,,1.0,,1.0,1.0,,0,5824384,942916,0,0.0,0.0,0.0,,0.8606658490092061,,0.8606658490092061,1.0,1.0,0,6766934,366,0,0.0,0.0,0.0,,0.9999459163920619,,0.9999459163920619,1.0,1.0,0.75,2.25
