Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,normal_004.png,17084792,1294845209,104695,3207288,0.9116370188044699,0.83762222214051,0.9939093586678881,0.8419438519856023,0.9974818451355032,0.9116370188044699,0.9999191513125901,0.9975291538613327,0.006090641332111889,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SL-01Z-00-DX2.F64D1539-E590-4B51-96B4-1F95CAE6E33A.png,292859019,299037242,4166079,39636860,0.9304186189176028,0.8698904406657078,0.9859739832490519,0.8807899210083142,0.9310948653073655,0.9304186189176029,0.9862597844038786,0.8829645970390733,0.014026016750948096,0.5,1.75
HistoKit (no postprocessing),gaussian,tumor_031.png,37636405,1305349158,93647,8797398,0.8943602927883947,0.8089075373784723,0.9975179732060798,0.8105389300118278,0.9934231830424571,0.8943602927883947,0.9999282641877213,0.9933056187988822,0.0024820267939201354,0.5,1.75
HistoKit (no postprocessing),gaussian,tumor_021.png,172711109,1108129606,585214,67321335,0.8357081470692796,0.7177823541113512,0.9966230443331449,0.7195323520515419,0.9496521321580972,0.8357081470692795,0.9994721690470413,0.9427272269289885,0.0033769556668550894,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-SR-A6MX-01Z-00-DX1.2642CBB2-65ED-48E9-BC30-D2F3F5D4D8B3.png,79243037,266680482,781752,7672257,0.9493590224224341,0.9035998430323411,0.9902311270074077,0.9117271926848686,0.9761440601278758,0.9493590224224341,0.9970771499650302,0.9720350632256674,0.009768872992592333,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-G9-6333-11A-01-TS1.924c9301-78b6-4330-be95-533b25cf1a91.png,9179316,71173397,288887,6143864,0.7405247218358089,0.5879628879379009,0.9694887192427116,0.5990477172492916,0.9258775524896657,0.7405247218358088,0.995957489967715,0.9205369678059341,0.03051128075728837,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-FA-A82F-01Z-00-DX1.6D1B9A0A-FAA1-4E4D-9280-3D87F9929972.png,210468261,531838189,1181765,3502821,0.988993529897958,0.9782267068954937,0.9944164193015502,0.9836294654059842,0.9937287252801786,0.988993529897958,0.9977828878804038,0.9934568416494003,0.005583580698449808,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-DQ-7590-01Z-00-DX1.8319DF99-1663-48DE-BB6A-A156FBAC2EA1.png,10526689,212619245,107106,22954176,0.4772422138128232,0.31340651687474663,0.9899277727283627,0.3144091109951908,0.9063338501012903,0.47724221381282317,0.999496508074827,0.9025604166099876,0.010072227271637266,0.9,2.25
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SJ-01Z-00-DX2.36E46E11-79CA-4356-B68F-F387219B3D16.png,185977614,213205518,1671944,137064412,0.7283363181485286,0.5727428789097063,0.9910900722718462,0.5757071805883238,0.7420871355380231,0.7283363181485286,0.9922190815898598,0.6086891843670394,0.008909927728153775,0.5,1.75
HistoKit (no postprocessing),gaussian,TCGA-YL-A8SI-01Z-00-DX1.35E5FB1A-9AAC-4942-892B-E9D80F6BDA23.png,161299070,170360486,4114285,12877679,0.9499633122406889,0.9046953533288724,0.9751272501546202,0.9260654532023674,0.9512637604448132,0.9499633122406889,0.9764190262212753,0.9297216330451683,0.024872749845379776,0.9,2.25
