Method,Mode,Image,TP,TN,FP,FN,DICE,JACCARD,PRECISION,RECALL,ACCURACY,F1,SPECIFICITY,NPV,FDR,Overlap,Sigma
HistoKit (no postprocessing),gaussian,6f1702fd-ae84-1c96-04ae-a23a14a5d2d4_111419_1.png,2876307,787407,956,127952,0.978082543940157,0.9571052320715823,0.9996677397929907,0.9574097972245402,0.9660108494861867,0.978082543940157,0.9987873606447791,0.8602165926155749,0.00033226020700923063,0.25,0.75
HistoKit (no postprocessing),gaussian,9e7010fd-072a-6a7f-3911-83d91e8c9301_113642_4.png,6864914,216273,46377,983316,0.93023533758311,0.8695700748624979,0.9932896762703235,0.8747085648611216,0.8730479306807646,0.9302353375831101,0.8234266133637921,0.18028924906780572,0.006710323729676554,0.25,0.75
HistoKit (no postprocessing),gaussian,deaaef3a-8172-327d-10b9-23d266fb17ca_123636_5.png,2364923,163357,358,459758,0.9113450156282454,0.8371293281260895,0.9998486437763632,0.8372354258764086,0.846032453530255,0.9113450156282453,0.9978132730659989,0.262161880230776,0.0001513562236368533,0.25,0.75
HistoKit (no postprocessing),gaussian,f761dbde-597d-9a8f-e1a1-2533f0d71b83_120113_2.png,3034220,467736,17653,72495,0.9853622291343406,0.9711468047297885,0.994215683286952,0.9766650626143693,0.9749038446548318,0.9853622291343405,0.963631231857335,0.8658074046102501,0.00578431671304802,0.25,0.75
HistoKit (no postprocessing),gaussian,9e7010fd-072a-6a7f-3911-83d91e8c9301_113642_7.png,2911182,3448763,160507,413293,0.9102899800567965,0.8353506560435606,0.9477463376012351,0.8756817241820137,0.9172452981758055,0.9102899800567965,0.9555292344435301,0.8929862746682078,0.05225366239876498,0.25,0.75
HistoKit (no postprocessing),gaussian,3e1fffa8-5bae-87b0-bc39-e4a1bc285608_122517_5.png,4948646,1749765,247013,704491,0.9122940462702036,0.8387322356211283,0.9524578114152603,0.8753805188163669,0.8756190101458644,0.9122940462702037,0.8762942099722654,0.7129512976641393,0.047542188584739686,0.25,0.75
HistoKit (no postprocessing),gaussian,8e6bc805-8b70-bd59-8612-caf5bbe72e5e_125634_3.png,31218319,393561,25483,97522,0.998033796324573,0.9960753093902478,0.9991843822336347,0.9968858572247828,0.9961239815427092,0.9980337963245731,0.9391877702580159,0.8014144248528253,0.0008156177663653098,0.25,0.75
HistoKit (no postprocessing),gaussian,7e3642ed-4a56-9d3f-3ecf-de46d455c0fd_113100_2.png,2179270,1257096,0,146526,0.9674752822711143,0.9369996336738046,1.0,0.9369996336738046,0.9591039863886491,0.9674752822711142,1.0,0.8956086467724216,0.0,0.25,0.75
HistoKit (no postprocessing),gaussian,1875292b-dccd-c5b5-17ad-67c30baa6d69_130951_1.png,9786866,350275,5770,2137770,0.9012979162392035,0.820329668579594,0.9994107817343563,0.8207266033109941,0.8254543050177755,0.9012979162392035,0.9837941833195242,0.14078322538378527,0.0005892182656436939,0.25,0.75
HistoKit (no postprocessing),gaussian,7d4546a5-f4cc-3733-763f-d1c5a5904dff_120251_1.png,6249807,933555,27769,522485,0.9578345160272885,0.919081020008497,0.9955764772899603,0.922849605421621,0.9288490662065455,0.9578345160272885,0.9711137972213323,0.6411602703222439,0.004423522710039671,0.25,0.75
